row_idx,cohort,task_id,simulation_id,orig_error_source,error_type,skill_bucket,classification_rationale,notes,soham_notes
1,voice,56,1fb1bd1f-f23a-4507-b8a8-b9a4b4cbb94c,agent,hallucination,honesty,wrong item ID processed (#1327854740 instead of #534205511),Agent replaces wrong item. Item #1327854740 instead of #534205511,
2,voice,24,995422f4-6500-46cb-acbf-3b402f8c281b,agent,transcription,spelling,transcription error on user name,Agent never transcribes the User name correctly and therefor does not locate account or order.,
3,voice,28,1326a985-620d-4a78-86fe-6cdf8c97b708,agent,transcription,spelling,transcription error on user name,"Agent never transcribed the User name correctly, therefor never located the account or order and could not complete the objectives.",
4,voice,87,5fcc1546-4eb4-4f45-ba23-fa52c3bc8e5c,agent,transcription,spelling,transcription error on email,Agent was never able to locate the order or user account because it was not able to transcribe the email address correctly.,
5,voice,7,2afbdbb3-061a-450e-8dd0-28798c7805e7,user agent,logical,grounding,agent did not confirm before exchanging items,The user did not specify to only exchange the lamp when asked for confirmation. Leading to the agent exchanging both the bottle and the lamp.,"would call this an agent error,  agent didnt confirm, just exchanged."
6,voice,19,13394123-7fa5-447e-b819-52b2fa1f7bb6,agent,logical,policy,one-time-process policy not surfaced to user,Agent should have notified the user that they could only do one process. Ultimately they were not able to complete the objective because the order froze after the return.,
7,voice,56,6f295228-43d1-4507-ba4c-5b15073a5761,agent,logical,policy,refund method (gift card vs credit card),Agent canceled the entire order and refunded to a credit card and not the gift card.,
8,voice,8,2bac92e2-0ebd-4fcc-8576-3ef0b8f472c1,agent,logical,grounding,agent did not share prices/details before action,Agent did not specify prices and details before exchanging the items.,
9,voice,51,f983a3e4-3248-4fef-8d26-b79d30182657,agent,transcription,spelling,transcription error on user name,Agent did not transcribe the user name accurately and therefor could not locate the account or order,
10,voice,23,ea8ec48e-4725-42bb-8315-9af13963b432,agent,timeout,arithmetic,agent verbose/slow → timeout; self-consistency,Not sure who terminated but the conversation seemed to be working until that point.,"agent is a little too verbose, but conversation was progressing when we timed out"
11,voice,23,0f8f54ad-688a-4e39-b91f-ede26621753e,user agent,logical,grounding,agent did not confirm exchange variation,User terminates the exchange for the grill. User instructs agent to skip excahnging the grill. Makes up it's own variation to the conflict.,"unclear, agent pushes back twice saying the grill is the same, which could be enough to persuade the user. I would say this is agent error."
12,voice,36,0ad0d59e-b6a0-4f37-87c0-795ab785f11a,agent,logical,grounding,agent did not share pricing information before action,"Most critical and what lead to the entire order being cancelled, the agent did not offer any information to the user about items prices. It did not, or could not confirm the most expensive item, and there are no rules against it doing so. The agent had the order information, and had identified the users account.",
13,voice,19,2eaaa521-fec1-4f23-ad3e-b8ecbb547103,agent,logical,policy,one-time-process policy (return freezes order),Agent should have notified the user that returning the water bottle would freeze the order and not let the user exchange the pet bed and office chair.,
14,voice,14,f2ae801a-67bf-4800-ba29-275eb2dac6ad,user agent,logical,grounding,"agent did not double-check ambiguous ""all of them"" request","User initiates a cancel / return for an entire order and not any specific items. User declares ""All of them""","underspeified task, and agent doesnt double check, which is partly the intention of the task, and it is in the policy"
15,voice,35,9fe931df-8d34-4a8d-a22d-8d17c4039de5,agent,transcription,spelling,transcription error on email,"Agent was not able to accurately identify the email, and could not find the user account or orders.",
16,voice,31,342cbdcb-0a26-4bcd-a6a3-11993678073e,agent,timeout,arithmetic,agent verbose/slow → timeout; self-consistency,The agent and user seemingly were completing the objectives as described but the conversation ends early.,"agent is very verbose and slow, times out."
17,voice,33,2e482d72-91b6-4c41-ba09-43eb95ba4024,agent,logical,grounding,agent did not share pricing info before action,Agent should have notified the user about the pricing differences before processing the return.,
18,voice,36,83f3c8b2-2777-47fc-8ccd-7e1f60ca1dfa,agent,hallucination,honesty,agent offered unavailable items; same product ID for replacement,Agent offers items that are unavailable. Agent also try's to compare a umbrella to it's self. Agent uses same product ID for replacement.,
19,voice,59,898615bf-b828-4df3-84a6-cad577bcdfef,user agent,VAD,grounding,agent did not confirm 5-day guarantee before user cancelled,Agent seemingly does not confirm if they can guarantee the item will arrive within 5 days. The user decides to cancel the order before recieving weather or not agent can assure 5 days or less. Critical error is that the user did cancel the order without recieving that information or clarifying it after asking.,"unclear, agent misses user saying the guaratnee thing, user doesnt double check. would almost say neither, lean towards agent"
20,voice,106,6a4bea09-94b0-4004-aea7-97c58a2eda70,agent,hallucination,honesty,agent processed wrong item ID (#9523456873 vs #9354168549),Agent processed the wrong item or mis represented the item ID(#9523456873 vs #9354168549),
21,voice,6,1800adea-adfe-4009-bf06-c09f40ea55e6,agent,transcription,spelling,transcription error on user info,Agent was never able to identify the user or account due to faulty transcription.,
22,voice,35,e660df4d-4417-434a-b7d9-3585a01bba47,user agent,logical,honesty,agent claimed no silver options when there were (per Soham),User does not modify existing order with 17 in laptop. Ultimately the user decided it did not like the options available adding it's own version to the rules.,"agent says there are no silver options, when there are."
23,voice,106,60d8b1be-6f58-4aa3-8089-a29bae83c074,agent,transcription,spelling,transcription error on name,Agent fails to transcribe name properly and therefor never locates the account or orders.,
24,voice,31,3f10e550-63a8-46b5-b266-1c280d1a0524,agent,logical,grounding,agent ended call prematurely without confirming,Agent ends call prematurely.,
